Path	Id	Type	Parent	RR
./corpus_rs3/corpus/25.rs3	105	multinuc	108	joint
./corpus_rs3/corpus/25.rs3	106	multinuc	3	evidence
./corpus_rs3/corpus/25.rs3	107	span	108	joint
./corpus_rs3/corpus/25.rs3	108	multinuc	-	antithesis
./corpus_rs3/corpus/25.rs3	109	multinuc	7	elaboration
./corpus_rs3/corpus/25.rs3	110	span	109	joint
./corpus_rs3/corpus/25.rs3	111	span	112	joint
./corpus_rs3/corpus/25.rs3	112	multinuc	108	joint
./corpus_rs3/corpus/25.rs3	113	multinuc	115	joint
./corpus_rs3/corpus/25.rs3	114	span	115	joint
./corpus_rs3/corpus/25.rs3	115	multinuc	-	antithesis
./corpus_rs3/corpus/25.rs3	116	span	117	span
./corpus_rs3/corpus/25.rs3	117	span	18	evidence
./corpus_rs3/corpus/25.rs3	118	span	115	joint
./corpus_rs3/corpus/25.rs3	119	span	120	contrast
./corpus_rs3/corpus/25.rs3	120	multinuc	129	joint
./corpus_rs3/corpus/25.rs3	121	span	123	span
./corpus_rs3/corpus/25.rs3	122	span	121	concession
./corpus_rs3/corpus/25.rs3	123	span	125	joint
./corpus_rs3/corpus/25.rs3	124	span	125	joint
./corpus_rs3/corpus/25.rs3	125	multinuc	126	span
./corpus_rs3/corpus/25.rs3	126	span	127	span
./corpus_rs3/corpus/25.rs3	127	span	25	evidence
./corpus_rs3/corpus/25.rs3	128	span	130	joint
./corpus_rs3/corpus/25.rs3	129	multinuc	-	antithesis
./corpus_rs3/corpus/25.rs3	130	multinuc	129	joint
./corpus_rs3/corpus/25.rs3	131	multinuc	132	span
./corpus_rs3/corpus/25.rs3	132	span	133	span
./corpus_rs3/corpus/25.rs3	133	span	130	joint
./corpus_rs3/corpus/25.rs3	134	multinuc	146	joint
./corpus_rs3/corpus/25.rs3	135	multinuc	41	elaboration
./corpus_rs3/corpus/25.rs3	136	span	138	joint
./corpus_rs3/corpus/25.rs3	137	span	138	joint
./corpus_rs3/corpus/25.rs3	138	multinuc	139	span
./corpus_rs3/corpus/25.rs3	139	span	140	span
./corpus_rs3/corpus/25.rs3	140	span	37	evidence
./corpus_rs3/corpus/25.rs3	141	span	134	contrast
