Path	Segment	Id	Parent	RR
./corpus_rs3/corpus/25.rs3	 ##### «Происхождение видов путём естественного отбора, или Сохранение благоприятных рас в борьбе за жизнь» — это лишь одна книга из обширного наследия Дарвина,	1	105	contrast
./corpus_rs3/corpus/25.rs3	 но она, пожалуй, является самым знаменитым произведением современной науки.	2	105	contrast
./corpus_rs3/corpus/25.rs3	 По известности и интенсивности исторического воздействия с ней может конкурировать разве что работа Исаака Ньютона «Математические начала натуральной философии» (1687).	3	107	span
./corpus_rs3/corpus/25.rs3	 Работа Ньютона революционизировала современную физику.	4	106	joint
./corpus_rs3/corpus/25.rs3	 Работа Дарвина произвела переворот в области наших знаний о живых организмах.	5	106	joint
./corpus_rs3/corpus/25.rs3	 ##### История воздействия «Происхождения видов» Дарвина — одна из самых сложных и неоднозначных.	6	112	joint
./corpus_rs3/corpus/25.rs3	 Эта книга буквально расколола современную культуру:	7	111	span
./corpus_rs3/corpus/25.rs3	 появились	8	109	joint
./corpus_rs3/corpus/25.rs3	 и продолжают существовать как яростные противники, так и яростные сторонники дарвинизма	9	110	span
./corpus_rs3/corpus/25.rs3	 (само это слово поначалу использовалось как бранное) .	10	9	elaboration
./corpus_rs3/corpus/25.rs3	 На русский язык работа «Происхождение видов» была переведена уже в 1864 году.	11	112	joint
./corpus_rs3/corpus/25.rs3	 В России одним из первых активных пропагандистов дарвинизма был Дмитрий Писарев.	12	112	joint
./corpus_rs3/corpus/25.rs3	 ##### Дарвинизм — это пример научной теории, которая в наибольшей степени стала жертвой разного рода популярных научных изложений и борьбы между разного рода вариантами такой популяризации.	13	115	joint
./corpus_rs3/corpus/25.rs3	 Дарвин действовал как образцовый учёный:	14	114	span
./corpus_rs3/corpus/25.rs3	 все его выводы строго ограничены тем эмпирическим материалом, на который он мог опираться как натуралист и путешественник.	15	14	elaboration
./corpus_rs3/corpus/25.rs3	 Он не стремился выйти за пределы этих материалов	16	113	joint
./corpus_rs3/corpus/25.rs3	 и сформулировать какие-то более широкие обобщения.	17	113	joint
./corpus_rs3/corpus/25.rs3	 Дарвин прямо указывает на проблемы, которые не поддавались решению в его время.	18	118	span
./corpus_rs3/corpus/25.rs3	 Например, до появления разработанной генетической теории камнем преткновения для дарвинизма была проблема изменчивости и наследственности.	19	116	cause-effect
./corpus_rs3/corpus/25.rs3	 Поэтому Дарвин до конца жизни колебался в вопросе о том, что более важно для динамики изменчивости — изменение среды обитания или изменения в самом организме	20	116	span
./corpus_rs3/corpus/25.rs3	 (эта проблема в советское время составила существо конфликта между последователями Лысенко и генетиками).	21	20	elaboration
./corpus_rs3/corpus/25.rs3	 ##### В популярном восприятии революционный характер работы «Происхождение видов» состоит якобы в том, что там утверждается происхождение человека от обезьяны.	22	120	contrast
./corpus_rs3/corpus/25.rs3	 Но это заблуждение:	23	119	span
./corpus_rs3/corpus/25.rs3	 таких утверждений в работе нет.	24	23	evidence
./corpus_rs3/corpus/25.rs3	 Дарвин не стремился эпатировать публику.	25	128	span
./corpus_rs3/corpus/25.rs3	 В одном из писем Альфреду Уоллесу в 1857 году Дарвин замечает по этому поводу:	26	126	attribution
./corpus_rs3/corpus/25.rs3	 «Вы спрашиваете,	27	28	attribution
./corpus_rs3/corpus/25.rs3	 буду ли я обсуждать «человека».	28	124	span
./corpus_rs3/corpus/25.rs3	 Думаю обойти весь этот вопрос,	29	121	span
./corpus_rs3/corpus/25.rs3	 с которым связано столько предрассудков,	30	29	elaboration
./corpus_rs3/corpus/25.rs3	 хотя я вполне допускаю,	31	32	attribution
./corpus_rs3/corpus/25.rs3	 что это наивысшая и самая увлекательная проблема для натуралиста».	32	122	span
./corpus_rs3/corpus/25.rs3	 Дарвин крайне аккуратно высказывался и по вопросу о том, что всё ныне живущее многообразие видов произошло от одного общего предка:	33	132	attribution
./corpus_rs3/corpus/25.rs3	 «Аналогия заставила бы меня сделать ещё одни шаг — допустить, что все животные и растения происходят от одного общего прототипа.	34	131	contrast
./corpus_rs3/corpus/25.rs3	 Но аналогия может иногда быть неверным путеводителем».	35	131	contrast
