Path	Segment	Id	RR
./corpus_rs3/corpus/25.rs3	 ##### «Происхождение видов путём естественного отбора, или Сохранение благоприятных рас в борьбе за жизнь» — это лишь одна книга из обширного наследия Дарвина,	1	contrast
./corpus_rs3/corpus/25.rs3	 но она, пожалуй, является самым знаменитым произведением современной науки.	2	contrast
./corpus_rs3/corpus/25.rs3	 Работа Ньютона революционизировала современную физику.	4	joint
./corpus_rs3/corpus/25.rs3	 Работа Дарвина произвела переворот в области наших знаний о живых организмах.	5	joint
./corpus_rs3/corpus/25.rs3	 ##### История воздействия «Происхождения видов» Дарвина — одна из самых сложных и неоднозначных.	6	joint
./corpus_rs3/corpus/25.rs3	 появились	8	joint
./corpus_rs3/corpus/25.rs3	 (само это слово поначалу использовалось как бранное) .	10	elaboration
./corpus_rs3/corpus/25.rs3	 На русский язык работа «Происхождение видов» была переведена уже в 1864 году.	11	joint
./corpus_rs3/corpus/25.rs3	 В России одним из первых активных пропагандистов дарвинизма был Дмитрий Писарев.	12	joint
./corpus_rs3/corpus/25.rs3	 ##### Дарвинизм — это пример научной теории, которая в наибольшей степени стала жертвой разного рода популярных научных изложений и борьбы между разного рода вариантами такой популяризации.	13	joint
./corpus_rs3/corpus/25.rs3	 все его выводы строго ограничены тем эмпирическим материалом, на который он мог опираться как натуралист и путешественник.	15	elaboration
./corpus_rs3/corpus/25.rs3	 Он не стремился выйти за пределы этих материалов	16	joint
./corpus_rs3/corpus/25.rs3	 и сформулировать какие-то более широкие обобщения.	17	joint
./corpus_rs3/corpus/25.rs3	 Например, до появления разработанной генетической теории камнем преткновения для дарвинизма была проблема изменчивости и наследственности.	19	cause-effect
./corpus_rs3/corpus/25.rs3	 (эта проблема в советское время составила существо конфликта между последователями Лысенко и генетиками).	21	elaboration
./corpus_rs3/corpus/25.rs3	 ##### В популярном восприятии революционный характер работы «Происхождение видов» состоит якобы в том, что там утверждается происхождение человека от обезьяны.	22	contrast
./corpus_rs3/corpus/25.rs3	 таких утверждений в работе нет.	24	evidence
./corpus_rs3/corpus/25.rs3	 В одном из писем Альфреду Уоллесу в 1857 году Дарвин замечает по этому поводу:	26	attribution
./corpus_rs3/corpus/25.rs3	 «Вы спрашиваете,	27	attribution
./corpus_rs3/corpus/25.rs3	 с которым связано столько предрассудков,	30	elaboration
./corpus_rs3/corpus/25.rs3	 хотя я вполне допускаю,	31	attribution
./corpus_rs3/corpus/25.rs3	 Дарвин крайне аккуратно высказывался и по вопросу о том, что всё ныне живущее многообразие видов произошло от одного общего предка:	33	attribution
./corpus_rs3/corpus/25.rs3	 «Аналогия заставила бы меня сделать ещё одни шаг — допустить, что все животные и растения происходят от одного общего прототипа.	34	contrast
./corpus_rs3/corpus/25.rs3	 Но аналогия может иногда быть неверным путеводителем».	35	contrast
./corpus_rs3/corpus/25.rs3	 ##### Ещё одним популярным заблуждением является представление о том, что теория эволюции Дарвина антирелигиозна по своей сути.	36	contrast
./corpus_rs3/corpus/25.rs3	 Свой труд он заканчивает словами:	38	attribution
./corpus_rs3/corpus/25.rs3	 по которому жизнь с её различными проявлениями Творец первоначально вдохнул в одну или ограниченное число форм;	40	elaboration
./corpus_rs3/corpus/25.rs3	 из такого простого начала развилось	42	joint
./corpus_rs3/corpus/25.rs3	 и продолжает развиваться бесконечное число самых прекрасных и самых изумительных форм».	43	joint
./corpus_rs3/corpus/25.rs3	 (не следует умножать сущности без необходимости)	46	elaboration
./corpus_rs3/corpus/25.rs3	 разумный творец мира способен обойтись минимумом средств для достижения максимума результатов.	48	elaboration
./corpus_rs3/corpus/25.rs3	 ##### И всё же теория естественного отбора Дарвина была действительно революционной.	49	joint
./corpus_rs3/corpus/25.rs3	 которая до него решения действительно не имела.	51	elaboration
./corpus_rs3/corpus/25.rs3	 Более того, даже весьма радикальные теоретики науки, например Иммануил Кант, не считали,	52	attribution
./corpus_rs3/corpus/25.rs3	 хотя в ранних ещё можно найти несколько более смелые предположения на этот счёт) .	55	concession
./corpus_rs3/corpus/25.rs3	 Речь идёт об устранении из сферы рассуждений о живой природе принципа целесообразности и замене его принципом причинно-следственных отношений.	56	joint
./corpus_rs3/corpus/25.rs3	 До Дарвина вопрос об особенностях живых существ можно было осмысленно поставить в форме «Зачем?» или «Для чего?».	57	comparison
./corpus_rs3/corpus/25.rs3	 Как в известной сказке:	58	attribution
./corpus_rs3/corpus/25.rs3	 «Зачем тебе, бабушка, такие большие уши?»	59	joint
./corpus_rs3/corpus/25.rs3	 — «Чтобы лучше тебя слышать, детка».	60	joint
./corpus_rs3/corpus/25.rs3	 поскольку он показал, как можно найти на него ответ.	62	cause-effect
